uuid,path,date,r,g,b
B1CDC39C-FEC1-41EB-9E60-8B2810546D6D,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/B1CDC39C-FEC1-41EB-9E60-8B2810546D6D.jpeg,2024-02-24 01:35:25.162000-10:00,148,102,86
330B9696-F4F3-48AF-BBE4-A66E7FF4E89E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/3/330B9696-F4F3-48AF-BBE4-A66E7FF4E89E.jpeg,2024-02-24 01:35:28.019000-10:00,29,23,22
93FCD8F6-5534-4A7F-A3E0-D66CB3905154,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/9/93FCD8F6-5534-4A7F-A3E0-D66CB3905154.jpeg,2024-02-24 01:35:34.012000-10:00,23,18,18
5D45C123-FF84-4CB8-806F-B6EB5567864E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/5D45C123-FF84-4CB8-806F-B6EB5567864E.jpeg,2024-02-24 01:35:35.167000-10:00,24,18,18
21763DF2-0B88-43D4-BB21-28FC99204012,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/2/21763DF2-0B88-43D4-BB21-28FC99204012.jpeg,2024-02-24 01:35:36.494000-10:00,28,21,19
BB579834-CAB0-4D3B-9F24-31167120F01C,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/BB579834-CAB0-4D3B-9F24-31167120F01C.jpeg,2024-02-24 01:35:39.382000-10:00,37,31,25
CAEF9B83-8D59-4BDA-BD04-465B2FF1AD71,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/CAEF9B83-8D59-4BDA-BD04-465B2FF1AD71.jpeg,2024-02-24 01:35:41.356000-10:00,37,31,26
1F6B13B4-33F3-41D6-BB78-DA854D4F2D75,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/1F6B13B4-33F3-41D6-BB78-DA854D4F2D75.jpeg,2024-02-24 01:35:43.323000-10:00,35,28,23
A8ABEA23-50B9-4972-A54E-E8EC3265EF30,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/A/A8ABEA23-50B9-4972-A54E-E8EC3265EF30.jpeg,2024-02-24 01:35:44.807000-10:00,34,27,23
7440C9F1-7D81-4388-8281-5AFD756A6315,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/7/7440C9F1-7D81-4388-8281-5AFD756A6315.jpeg,2024-02-24 01:35:50.592000-10:00,42,34,28
6FDE416B-17CE-4D7A-AC56-9DDE10B7DDE6,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/6/6FDE416B-17CE-4D7A-AC56-9DDE10B7DDE6.jpeg,2024-02-24 01:35:54.595000-10:00,54,45,45
DFFA5682-51CE-44EE-82A3-229D98089B10,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/D/DFFA5682-51CE-44EE-82A3-229D98089B10.jpeg,2024-02-24 01:35:56.951000-10:00,46,32,25
580F190A-80F6-4ED6-ACF7-FBA6BFE0CB5E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/580F190A-80F6-4ED6-ACF7-FBA6BFE0CB5E.jpeg,2024-02-24 01:35:59.034000-10:00,187,134,107
